Date,Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 -,A2 -,A[1],A[2]
102517,BA1652,AG,24,1,5427,5,9,0,0,0,0,0
102517,BA1652,AG,24,1,5428,9,0,0,0,0,1,0
102517,BA1652,AG,24,1,5434,9,0,0,1,0,0,0
102517,BA1652,AG,24,1,5437,9,10,0,0,0,0,0
102517,BA1652,AG,24,1,5446,10,0,0,0,0,1,0
102517,BA1652,AG,24,1,5449,10,0,0,1,0,0,0
102517,BA1652,AG,24,1,5454,10,0,0,0,0,1,0
102517,BA1652,AG,24,1,5512,10,2,0,0,0,0,0
102517,BA1652,AG,24,1,5513,2,3,0,0,0,0,0
102517,BA1652,AG,24,1,5559,3,5,1,1,0,0,0
102517,BA1652,AG,24,1,5569,5,4,0,0,0,0,0
102517,BA1652,AG,24,1,5578,4,0,0,0,0,1,0
102517,BA1652,AG,24,1,5579,4,5,1,1,0,0,0
102517,BA1652,AG,24,1,5589,5,4,0,0,0,0,0
102517,BA1652,AG,24,1,5592,4,0,0,0,0,1,0
102517,BA1652,AG,24,1,5595,4,5,1,1,0,0,0
102517,BA1652,AG,24,1,5598,5,0,0,0,0,1,0
102517,BA1652,AG,24,1,5602,5,0,0,1,0,0,0
102517,BA1652,AG,24,1,5605,5,4,0,0,0,0,0
102517,BA1652,AG,24,1,5612,4,0,0,0,0,1,0
102517,BA1652,AG,24,1,5632,4,5,1,1,0,0,0
102517,BA1652,AG,24,1,5638,5,0,0,1,0,1,0
102517,BA1652,AG,24,1,5642,5,4,0,0,0,0,0
102517,BA1652,AG,24,1,5648,4,0,0,0,0,1,0
102517,BA1652,AG,24,1,5650,4,5,1,1,0,0,0
102517,BA1652,AG,24,1,5655,5,0,0,0,0,1,0
102517,BA1652,AG,24,1,5658,5,0,0,1,0,0,0
102517,BA1652,AG,24,1,5660,5,9,0,0,0,0,0
102517,BA1652,AG,24,1,5670,9,10,0,1,0,1,0
102517,BA1652,AG,24,1,5674,10,0,0,0,0,1,0
102517,BA1652,AG,24,1,5745,10,2,0,0,0,0,0
102517,BA1652,AG,24,1,5746,2,6,0,0,0,0,0
102517,BA1652,AG,24,1,6326,6,8,2,0,1,0,0
102517,BA1652,AG,24,1,6336,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6344,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,6345,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6355,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6360,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,6379,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6381,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6389,8,7,0,0,1,0,0
102517,BA1652,AG,24,1,6402,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,6444,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6454,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6480,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,6481,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6491,8,7,0,0,0,0,1
102517,BA1652,AG,24,1,6505,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6510,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6514,8,0,0,0,1,0,0
102517,BA1652,AG,24,1,6515,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6530,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,6533,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6543,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6561,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,6584,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6592,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6594,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6620,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6630,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6650,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,6663,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6665,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6673,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6687,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6697,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6702,7,0,0,0,0,0,1
102517,BA1652,AG,24,1,6712,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6715,8,0,0,0,0,0,1
102517,BA1652,AG,24,1,6722,8,7,0,0,0,0,0
102517,BA1652,AG,24,1,6742,7,8,2,0,1,0,0
102517,BA1652,AG,24,1,6752,8,7,0,0,0,0,0
