Subject,UID,Protocol,Run,Time,curr_state,next_state,tx_event,l_lever,r_lever,l_lev_off,r_lev_off
BA1651,AG,6,1,7861.4,3,0,0,0,1,0,0
BA1651,AG,6,1,7861.7,3,0,0,0,0,0,1
BA1651,AG,6,1,7864.46,3,0,0,0,1,0,0
BA1651,AG,6,1,7865.02,3,0,0,0,0,0,1
BA1651,AG,6,1,7866.16,3,0,0,0,1,0,0
BA1651,AG,6,1,7866.76,3,0,0,0,0,0,1
BA1651,AG,6,1,7867.0,3,0,0,0,1,0,0
BA1651,AG,6,1,7867.28,3,0,0,0,0,0,1
BA1651,AG,6,1,7867.44,3,0,0,0,1,0,0
BA1651,AG,6,1,7867.7,3,0,0,0,0,0,1
BA1651,AG,6,1,7868.72,3,0,0,0,1,0,0
BA1651,AG,6,1,7868.78,3,0,0,0,0,0,1
BA1651,AG,6,1,7872.02,3,0,0,0,1,0,0
BA1651,AG,6,1,7873.42,3,0,0,0,0,0,1
BA1651,AG,6,1,7874.68,3,0,0,0,1,0,0
BA1651,AG,6,1,7875.28,3,0,0,0,0,0,1
BA1651,AG,6,1,7880.94,3,0,0,0,1,0,0
BA1651,AG,6,1,7885.9,3,0,0,0,0,0,1
BA1651,AG,6,1,7889.12,3,0,0,0,1,0,0
BA1651,AG,6,1,7889.38,3,0,0,0,0,0,1
BA1651,AG,6,1,7889.48,3,0,0,0,1,0,0
BA1651,AG,6,1,7889.96,3,0,0,0,0,0,1
BA1651,AG,6,1,7890.1,3,0,0,0,1,0,0
BA1651,AG,6,1,7890.62,3,0,0,0,0,0,1
BA1651,AG,6,1,7908.0,3,0,0,0,1,0,0
BA1651,AG,6,1,7908.84,3,0,0,0,0,0,1
BA1651,AG,6,1,7948.66,3,5,1,1,0,0,0
BA1651,AG,6,1,7948.86,5,9,0,0,0,0,0
BA1651,AG,6,1,7949.02,9,0,0,0,0,1,0
BA1651,AG,6,1,7949.06,9,10,0,0,0,0,0
BA1651,AG,6,1,7950.06,10,2,0,0,0,0,0
BA1651,AG,6,1,7950.08,2,6,0,0,0,0,0
BA1651,AG,6,1,7951.94,6,0,0,1,0,0,0
BA1651,AG,6,1,7952.52,6,0,0,0,0,1,0
BA1651,AG,6,1,7982.54,6,8,2,0,1,0,0
BA1651,AG,6,1,7982.74,8,9,0,0,0,0,0
BA1651,AG,6,1,7982.94,9,10,0,0,0,0,0
BA1651,AG,6,1,7983.08,10,0,0,0,0,0,1
