date,trial,fr,fr_prp,uo_prp,uo_resps,uo_fr_resps,uo_uo_resps,localrate,timeouts,p_to,p_to_sr,sr_rate,iri,max_fr
12/20/17,5.0,125,120.87,,0,0,0,77.946,0,0.0,0.0,3.118,19.244,150
12/20/17,6.0,150,62.990000000000002,,0,0,0,113.208,0,0.0,0.0,283.019,0.212,150
12/20/17,7.0,175,*,*,*,*,*,*,*,*,*,*,*,150
12/20/17,8.0,200,*,*,*,*,*,*,*,*,*,*,*,150
12/20/17,9.0,225,*,*,*,*,*,*,*,*,*,*,*,150
12/20/17,10.0,250,*,*,*,*,*,*,*,*,*,*,*,150
12/21/17,1.0,25,,,0,0,0,31.127,0,0.0,0.0,3.735,16.063,100
12/21/17,2.0,50,30.530000000000001,,0,0,0,29.245,0,0.0,0.0,1.755,34.193,100
12/21/17,3.0,75,92.689999999999998,,0,0,0,34.283,0,0.0,0.0,1.371,43.753,100
12/21/17,4.0,100,28.899999999999999,,0,0,0,1.076,0,0.0,0.0,1.076,55.747,100
12/21/17,5.0,125,*,*,*,*,*,*,*,*,*,*,*,100
12/21/17,6.0,150,*,*,*,*,*,*,*,*,*,*,*,100
12/21/17,7.0,175,*,*,*,*,*,*,*,*,*,*,*,100
12/21/17,8.0,200,*,*,*,*,*,*,*,*,*,*,*,100
12/21/17,9.0,225,*,*,*,*,*,*,*,*,*,*,*,100
12/21/17,10.0,250,*,*,*,*,*,*,*,*,*,*,*,100
