Subject,UserID,Protocol,Run,Time,Current State,Transition State,Transition Event,A1 - LEFT,A2 - RIGHT,A[1] LEFT,A[2] RIGHT
BA1653,AG,4,1,23099,8,7,0,0,0,0,0
BA1653,AG,4,1,23110,7,8,2,0,1,0,0
BA1653,AG,4,1,23120,8,7,0,0,0,0,0
BA1653,AG,4,1,23126,7,0,0,0,0,0,1
BA1653,AG,4,1,23130,7,8,2,0,1,0,0
BA1653,AG,4,1,23140,8,7,0,0,0,0,0
BA1653,AG,4,1,23205,7,0,0,0,0,0,1
BA1653,AG,4,1,23259,7,8,2,0,1,0,0
BA1653,AG,4,1,23269,8,7,0,0,0,0,0
BA1653,AG,4,1,23310,7,0,0,0,0,0,1
BA1653,AG,4,1,23317,7,8,2,0,1,0,0
BA1653,AG,4,1,23327,8,7,0,0,0,0,0
BA1653,AG,4,1,23334,7,0,0,0,0,0,1
BA1653,AG,4,1,23351,7,8,2,0,1,0,0
BA1653,AG,4,1,23359,8,0,0,0,0,0,1
BA1653,AG,4,1,23361,8,7,0,0,1,0,0
BA1653,AG,4,1,23449,7,0,0,0,0,0,1
BA1653,AG,4,1,23486,7,8,2,0,1,0,0
BA1653,AG,4,1,23496,8,7,0,0,0,0,0
BA1653,AG,4,1,23530,7,0,0,0,0,0,1
BA1653,AG,4,1,23555,7,8,2,0,1,0,0
BA1653,AG,4,1,23562,8,0,0,0,0,0,1
BA1653,AG,4,1,23565,8,7,0,0,0,0,0
BA1653,AG,4,1,23566,7,8,2,0,1,0,0
BA1653,AG,4,1,23576,8,7,0,0,0,0,0
BA1653,AG,4,1,23603,7,0,0,0,0,0,1
BA1653,AG,4,1,23720,7,8,2,0,1,0,0
BA1653,AG,4,1,23730,8,9,0,0,0,0,0
BA1653,AG,4,1,23740,9,10,0,0,0,0,0
BA1653,AG,4,1,23742,10,0,0,0,0,0,1
BA1653,AG,4,1,23815,10,2,0,0,0,0,0
BA1653,AG,4,1,23816,2,6,0,0,0,0,0
BA1653,AG,4,1,24205,6,8,2,0,1,0,0
BA1653,AG,4,1,24215,8,7,0,0,0,0,0
BA1653,AG,4,1,24228,7,0,0,0,0,0,1
BA1653,AG,4,1,24312,7,8,2,0,1,0,0
BA1653,AG,4,1,24322,8,7,0,0,0,0,0
BA1653,AG,4,1,24325,7,0,0,0,0,0,1
BA1653,AG,4,1,24393,7,8,2,0,1,0,0
BA1653,AG,4,1,24403,8,7,0,0,0,0,0
BA1653,AG,4,1,24424,7,0,0,0,0,0,1
BA1653,AG,4,1,24456,7,8,2,0,1,0,0
BA1653,AG,4,1,24461,8,0,0,0,1,0,1
BA1653,AG,4,1,24466,8,7,0,0,0,0,0
BA1653,AG,4,1,24503,7,0,0,0,0,0,1
BA1653,AG,4,1,24583,7,8,2,0,1,0,0
BA1653,AG,4,1,24593,8,7,0,0,0,0,0
BA1653,AG,4,1,24642,7,0,0,0,0,0,1
BA1653,AG,4,1,24719,7,8,2,0,1,0,0
BA1653,AG,4,1,24725,8,0,0,0,0,0,1
BA1653,AG,4,1,24729,8,7,0,0,0,0,0
BA1653,AG,4,1,24731,7,8,2,0,1,0,0
BA1653,AG,4,1,24741,8,7,0,0,0,0,1
