date,subject,ratio,runnum,trial,frpointer,borpointer,bolpointer,time,fr_irt,prp,fr_prp,uo_prp,event
11/12/17,BA1657,25,1,6,11,0,0,76.52,0.33,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,12,0,0,76.75,0.23,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,13,0,0,77.02,0.27,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,14,0,0,77.24,0.22,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,15,0,0,77.47,0.23,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,16,0,0,77.72,0.25,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,17,0,0,77.95,0.23,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,18,0,0,77.99,0.04,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,19,0,0,78.2,0.21,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,20,0,0,78.32,0.12,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,21,0,0,78.43,0.11,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,22,0,0,78.95,0.52,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,23,0,0,79.18,0.23,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,24,0,0,79.69,0.51,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,6,25,0,0,79.91,0.22,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,0,-1,0,0,79.92,0.0,0.0,0.0,0.0,200
11/12/17,BA1657,25,1,0,0,0,0,81.97,2.05,0.0,0.0,0.0,300
11/12/17,BA1657,25,1,7,1,0,0,84.07,2.1,0.05,0.05,0.0,120
11/12/17,BA1657,25,1,7,2,0,0,84.5,0.43,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,3,0,0,84.8,0.3,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,4,0,0,85.09,0.29,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,5,0,0,85.32,0.23,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,6,0,0,85.54,0.22,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,7,0,0,86.5,0.96,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,8,0,0,86.7,0.2,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,9,0,0,86.98,0.28,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,10,0,0,87.21,0.23,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,11,0,0,87.37,0.16,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,12,0,0,87.99,0.62,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,13,0,0,88.47,0.48,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,14,0,0,88.84,0.37,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,15,0,0,89.02,0.18,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,16,0,0,89.73,0.71,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,17,0,0,90.27,0.54,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,18,0,0,90.53,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,19,0,0,91.51,0.98,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,20,0,0,92.25,0.74,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,21,0,0,92.63,0.38,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,22,0,0,92.87,0.24,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,23,0,0,93.61,0.74,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,24,0,0,93.9,0.29,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,7,25,0,0,94.16,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,0,-1,0,0,94.17,0.0,0.0,0.0,0.0,200
11/12/17,BA1657,25,1,0,0,0,0,96.22,2.05,0.0,0.0,0.0,300
11/12/17,BA1657,25,1,8,1,0,0,97.65,1.43,0.62,0.62,0.0,120
11/12/17,BA1657,25,1,8,2,0,0,98.28,0.63,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,3,0,0,98.93,0.65,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,4,0,0,99.09,0.16,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,5,0,0,99.76,0.67,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,6,0,0,100.0,0.24,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,7,0,0,100.55,0.55,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,8,0,0,100.84,0.29,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,9,0,0,101.51,0.67,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,10,0,0,101.85,0.34,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,11,0,0,102.24,0.39,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,12,0,0,102.88,0.64,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,13,0,0,103.2,0.32,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,14,0,0,103.46,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,15,0,0,103.77,0.31,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,16,0,0,103.96,0.19,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,17,0,0,104.14,0.18,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,18,0,0,104.49,0.35,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,19,0,0,104.82,0.33,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,20,0,0,105.07,0.25,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,21,0,0,105.37,0.3,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,22,0,0,105.69,0.32,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,23,0,0,105.97,0.28,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,24,0,0,106.38,0.41,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,8,25,0,0,106.64,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,0,-1,0,0,106.65,0.0,0.0,0.0,0.0,200
11/12/17,BA1657,25,1,0,0,0,0,108.7,2.05,0.0,0.0,0.0,300
11/12/17,BA1657,25,1,9,1,0,0,109.41,0.71,1.34,1.34,0.0,120
11/12/17,BA1657,25,1,9,2,0,0,109.78,0.37,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,3,0,0,110.08,0.3,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,4,0,0,110.43,0.35,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,5,0,0,110.97,0.54,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,6,0,0,111.32,0.35,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,7,0,0,111.56,0.24,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,8,0,0,111.75,0.19,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,9,0,0,112.09,0.34,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,10,0,0,112.46,0.37,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,11,0,0,112.57,0.11,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,12,0,0,112.62,0.05,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,13,0,0,112.91,0.29,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,14,0,0,113.1,0.19,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,15,0,0,113.39,0.29,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,16,0,0,113.63,0.24,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,17,0,0,113.87,0.24,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,18,0,0,114.11,0.24,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,19,0,0,114.37,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,20,0,0,114.5,0.13,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,21,0,0,115.09,0.59,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,22,0,0,115.55,0.46,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,23,0,0,116.03,0.48,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,24,0,0,116.56,0.53,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,9,25,0,0,116.82,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,0,-1,0,0,116.83,0.0,0.0,0.0,0.0,200
11/12/17,BA1657,25,1,0,0,0,0,118.88,2.05,0.0,0.0,0.0,300
11/12/17,BA1657,25,1,10,1,0,0,120.47,1.59,0.46,0.46,0.0,120
11/12/17,BA1657,25,1,10,2,0,0,120.93,0.46,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,3,0,0,121.72,0.79,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,4,0,0,121.97,0.25,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,5,0,0,122.3,0.33,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,6,0,0,122.53,0.23,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,7,0,0,122.9,0.37,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,8,0,0,123.32,0.42,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,9,0,0,123.54,0.22,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,10,0,0,124.02,0.48,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,11,0,0,124.36,0.34,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,12,0,0,124.63,0.27,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,13,0,0,124.97,0.34,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,14,0,0,125.25,0.28,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,15,0,0,125.65,0.4,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,16,0,0,125.85,0.2,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,17,0,0,126.04,0.19,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,18,0,0,126.36,0.32,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,19,0,0,126.44,0.08,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,20,0,0,126.74,0.3,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,21,0,0,127.4,0.66,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,22,0,0,127.72,0.32,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,23,0,0,127.99,0.27,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,24,0,0,128.21,0.22,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,10,25,0,0,128.64,0.43,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,0,-1,0,0,128.65,0.0,0.0,0.0,0.0,200
11/12/17,BA1657,25,1,0,0,0,0,130.7,2.05,0.0,0.0,0.0,300
11/12/17,BA1657,25,1,11,1,0,0,131.9,1.2,0.85,0.85,0.0,120
11/12/17,BA1657,25,1,11,2,0,0,132.52,0.62,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,3,0,0,132.74,0.22,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,4,0,0,133.24,0.5,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,5,0,0,133.5,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,6,0,0,133.54,0.04,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,7,0,0,133.72,0.18,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,8,0,0,133.97,0.25,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,9,0,0,134.19,0.22,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,10,0,0,134.62,0.43,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,11,0,0,135.09,0.47,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,12,0,0,135.32,0.23,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,13,0,0,135.54,0.22,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,14,0,0,136.28,0.74,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,15,0,0,136.91,0.63,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,16,0,0,137.39,0.48,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,17,0,0,137.8,0.41,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,18,0,0,138.09,0.29,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,19,0,0,138.34,0.25,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,20,0,0,138.6,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,21,0,0,138.86,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,22,0,0,139.2,0.34,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,23,0,0,139.7,0.5,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,24,0,0,139.95,0.25,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,11,25,0,0,140.32,0.37,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,0,-1,0,0,140.33,0.0,0.0,0.0,0.0,200
11/12/17,BA1657,25,1,0,0,0,0,142.38,2.05,0.0,0.0,0.0,300
11/12/17,BA1657,25,1,12,1,0,0,142.82,0.44,1.61,1.61,0.0,120
11/12/17,BA1657,25,1,12,2,0,0,143.79,0.97,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,12,3,0,0,144.07,0.28,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,12,4,0,0,144.36,0.29,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,12,5,0,0,144.58,0.22,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,12,6,0,0,144.85,0.27,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,12,7,0,0,145.11,0.26,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,12,8,0,0,145.6,0.49,0.0,0.0,0.0,120
11/12/17,BA1657,25,1,12,9,0,0,145.82,0.22,0.0,0.0,0.0,120
