Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	BL	1	80	9	2	BA1651	2723	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2734	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2737	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2746	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2747	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2757	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2766	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2767	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2771	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2781	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2797	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2803	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2813	8	7	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2839	7	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2844	7	8	2	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2851	8	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2854	8	9	0	0	1	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2864	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2868	10	0	0	0	0	0	0	0	1	0	0
A	BL	1	80	9	2	BA1651	2939	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	2940	2	3	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3102	3	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3112	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3115	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	3127	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3137	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3157	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	3165	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3175	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3189	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	3198	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3208	5	4	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3236	4	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	3256	4	5	1	1	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3266	5	9	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3276	9	10	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3283	10	0	0	0	0	0	0	1	0	0	0
A	BL	1	80	9	2	BA1651	3351	10	2	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3352	2	3	0	0	0	0	0	0	0	0	0
A	BL	1	80	9	2	BA1651	3383	3	5	1	1	0	0	0	0	0	0	0
