Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGH	A3 - 	A4 - 	A[1] LEFT	A[2] RIGH	A[3] 	A[4] 
A	AG	23	139	1	1	BA1650	2736	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2740	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2742	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2745	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2750	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2755	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2758	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2766	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2768	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2769	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2779	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2780	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2787	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2797	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2804	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2826	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2830	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2836	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2838	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2848	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2851	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2855	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2861	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2865	8	7	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2871	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2874	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2884	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2893	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2895	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2901	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2904	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2905	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2914	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2918	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2921	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2923	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2928	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2935	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2940	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2950	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2962	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2976	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2983	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2985	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2986	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	2990	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	2994	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3004	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3007	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3012	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3020	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3022	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3025	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3028	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3035	8	9	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3045	9	10	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3120	10	2	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3121	2	6	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3215	6	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3225	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3229	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3233	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3243	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3262	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3292	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3296	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3302	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3317	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3321	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3326	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3327	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3328	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3334	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3339	8	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3342	8	0	0	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3344	8	7	0	0	0	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3355	7	0	0	0	0	0	0	0	1	0	0
A	AG	23	139	1	1	BA1650	3359	7	8	2	0	1	0	0	0	0	0	0
A	AG	23	139	1	1	BA1650	3365	8	0	0	0	0	0	0	0	1	0	0
