Project	UserID	Protocol	Session	Station	Run	Subject	Time	Current State	Transition State	Transition Event	A1 - LEFT	A2 - RIGHT	A3 - 	A4 - 	A[1] LEFT	A[2] RIGHT	A[3] 	A[4] 
A	BL	4	85	1	1	BA1652	2588	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2598	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2599	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2601	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2611	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2669	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2674	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2682	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2684	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2717	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2725	8	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2727	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2763	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2770	8	0	0	0	1	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2773	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2789	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2827	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2837	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2882	7	0	0	0	0	0	0	0	1	0	0
A	BL	4	85	1	1	BA1652	2885	7	8	2	0	1	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2895	8	7	0	0	0	0	0	0	0	0	0
A	BL	4	85	1	1	BA1652	2903	7	0	0	0	0	0	0	0	1	0	0
