date,time,fr25,fr50,fr75,fr100
,1395.13,1,*-99,*-99,*-99
,1397.23,1,*-99,*-99,*-99
,1397.49,1,*-99,*-99,*-99
,1397.92,1,*-99,*-99,*-99
,1493.33,1,*-99,*-99,*-99
,1496.34,1,*-99,*-99,*-99
,1501.32,1,*-99,*-99,*-99
,1502.52,1,*-99,*-99,*-99
,1503.38,1,*-99,*-99,*-99
,1504.91,1,*-99,*-99,*-99
,1506.47,1,*-99,*-99,*-99
,1506.88,1,*-99,*-99,*-99
,1507.92,1,*-99,*-99,*-99
,1509.69,1,*-99,*-99,*-99
,1510.34,1,*-99,*-99,*-99
,1511.14,1,*-99,*-99,*-99
,1511.86,1,*-99,*-99,*-99
,1512.35,1,*-99,*-99,*-99
,1513.64,1,*-99,*-99,*-99
,1514.05,1,*-99,*-99,*-99
,1515.98,1,*-99,*-99,*-99
,1517.83,1,*-99,*-99,*-99
,1519.18,1,*-99,*-99,*-99
,1521.09,1,*-99,*-99,*-99
,1524.48,1,*-99,*-99,*-99
,1525.48,1,*-99,*-99,*-99
,1526.69,1,*-99,*-99,*-99
,1527.08,1,*-99,*-99,*-99
,1528.34,1,*-99,*-99,*-99
,1551.28,1,*-99,*-99,*-99
,1551.55,1,*-99,*-99,*-99
,1551.96,1,*-99,*-99,*-99
,1554.33,1,*-99,*-99,*-99
,1556.36,1,*-99,*-99,*-99
,1556.95,1,*-99,*-99,*-99
,1557.55,1,*-99,*-99,*-99
,1558.78,1,*-99,*-99,*-99
,1560.06,1,*-99,*-99,*-99
,1560.52,1,*-99,*-99,*-99
,1560.96,1,*-99,*-99,*-99
,1563.85,1,*-99,*-99,*-99
,1564.4,1,*-99,*-99,*-99
,1565.19,1,*-99,*-99,*-99
,1566.1,1,*-99,*-99,*-99
,1567.88,1,*-99,*-99,*-99
,1569.6,1,*-99,*-99,*-99
,1570.06,1,*-99,*-99,*-99
,1570.83,1,*-99,*-99,*-99
,1571.95,1,*-99,*-99,*-99
,1573.14,1,*-99,*-99,*-99
,1573.56,1,*-99,*-99,*-99
,1574.09,1,*-99,*-99,*-99
,1575.56,1,*-99,*-99,*-99
,1576.24,1,*-99,*-99,*-99
,1681.21,1,*-99,*-99,*-99
,1708.94,1,*-99,*-99,*-99
,1752.11,1,*-99,*-99,*-99
,1764.43,0,*-99,*-99,*-99
,1816.28,1,*-99,*-99,*-99
,1819.07,1,*-99,*-99,*-99
,1819.76,1,*-99,*-99,*-99
,1819.97,1,*-99,*-99,*-99
,1820.84,1,*-99,*-99,*-99
